Membership No  Date Joined  Active  
    84132      2016-2-22    no    
    31280      2018-4-5     yes   
    96699      2015-2-21    no    
    66740      2016-6-8     no    
    21753      2019-5-11    no    
    61634      2015-3-10    yes   
    69098      2016-5-12    no    
    78120      2015-4-15    yes   
    67685      2018-3-8     yes   
    89335      2020-1-23    yes   
    75137      2015-12-4    yes   
    65507      2019-11-22   yes   
    16560      2017-12-20   yes   
    16995      2020-2-17    no    
    98329      2019-12-15   yes   
    44770      2016-6-20    no    
    77823      2018-2-24    yes   
    68089      2016-8-19    no    
    41614      2016-6-10    no    
    53713      2016-2-11    yes   
