Membership No  Date Joined  Active  
    97953      2015-1-20    no    
    40445      2017-1-4     no    
    80239      2016-12-10   no    
    91577      2020-11-3    yes   
    65891      2017-4-25    yes   
    54273      2019-1-14    yes   
    71048      2019-6-22    yes   
    16737      2015-9-22    no    
    98157      2016-12-21   no    
    85075      2016-6-15    no    
    67122      2018-12-14   yes   
    52661      2018-4-25    yes   
    63237      2019-8-9     no    
    76137      2016-11-9    no    
    77775      2017-11-8    no    
    95032      2015-5-10    yes   
    20229      2017-9-6     no    
    83572      2018-12-21   yes   
    60637      2020-5-25    yes   
    82496      2016-9-6     no    
